dim,H,seed,Squared Error
4,128,6,0.1786309196613729
4,64,6,0.22727166069671512
4,32,6,0.2910154527053237
4,16,6,0.4027160042896867
4,8,6,0.46965671330690384
4,4,6,0.6663187462836504
4,2,6,0.6643927190452814
4,1,6,0.8296213541179895
64,16384,7,0.27564614173024893
64,8192,7,0.3315801275894046
64,4096,7,0.39321730099618435
64,2048,7,0.43873277585953474
64,1024,7,0.4683583853766322
64,512,7,0.48135566618293524
64,256,7,0.4961339719593525
64,128,7,0.5020349603146315
64,64,7,0.5043314527720213
64,32,7,0.513462845236063
64,16,7,0.5295946821570396
64,8,7,0.5592217650264502
64,4,7,0.6007445640861988
64,2,7,0.6655759066343307
64,1,7,0.7454014141112566
32,16384,7,0.2044340050779283
32,8192,7,0.22666838485747576
32,4096,7,0.270608932711184
32,2048,7,0.33361312467604876
32,1024,7,0.3919593458995223
32,512,7,0.4429253740236163
32,256,7,0.4741621492430568
32,128,7,0.49047080613672733
32,64,7,0.5027352068573236
32,32,7,0.5134350340813398
32,16,7,0.5332425832748413
32,8,7,0.5524994060397148
32,4,7,0.6029821280390024
32,2,7,0.6563357207924128
32,1,7,0.7420047279447317
16,16384,7,0.1776804607361555
16,8192,7,0.18384334491565824
16,4096,7,0.19700953410938382
16,2048,7,0.22229201113805175
16,1024,7,0.262571036349982
16,512,7,0.3312927484512329
16,256,7,0.3960237978026271
16,128,7,0.45459563564509153
16,64,7,0.47500445134937763
16,32,7,0.512022053822875
16,16,7,0.5244079362601042
16,8,7,0.5560956932604313
16,4,7,0.5811190716922283
16,2,7,0.657270098105073
16,1,7,0.745710875838995
8,16384,7,0.16188152832910419
8,8192,7,0.16459985170513391
8,4096,7,0.16662936750799417
8,2048,7,0.1750801708549261
8,1024,7,0.18474045675247908
8,512,7,0.2106753969565034
8,256,7,0.2514083399437368
8,128,7,0.3133324021473527
8,64,7,0.4196687191724777
8,32,7,0.4677809691056609
8,16,7,0.4943724777549505
8,8,7,0.5351838693022728
8,4,7,0.5716901104897261
8,2,7,0.6576875690370798
8,1,7,0.7416738830506802
4,16384,7,0.08656566846184433
4,8192,7,0.09826931753195822
4,4096,7,0.11149596888571978
4,2048,7,0.12454186799004674
4,1024,7,0.13474538642913103
4,512,7,0.14492513285949826
4,256,7,0.15677193691954017
4,128,7,0.17619214300066233
4,64,7,0.2323624729178846
4,32,7,0.29258692543953657
4,16,7,0.3740113601088524
4,8,7,0.4953194400295615
4,4,7,0.5582344681024551
4,2,7,0.6299219224601984
4,1,7,0.6908357460051775
64,16384,8,0.2718345308676362
64,8192,8,0.33154159877449274
64,4096,8,0.39633024763315916
64,2048,8,0.44100687000900507
64,1024,8,0.4699102686718106
64,512,8,0.4840219849720597
64,256,8,0.4937121858820319
64,128,8,0.5000840835273266
64,64,8,0.5057935854420066
64,32,8,0.5164950527250767
64,16,8,0.536511393263936
64,8,8,0.562061270698905
64,4,8,0.6044839918613434
64,2,8,0.6701624225825071
64,1,8,0.7538348790258169
32,16384,8,0.203374442178756
32,8192,8,0.2260310621932149
32,4096,8,0.2726367264986038
32,2048,8,0.3267230121418834
32,1024,8,0.3904722863808274
32,512,8,0.4374788999557495
32,256,8,0.469231772236526
32,128,8,0.490256424061954
32,64,8,0.4985508630052209
32,32,8,0.5220651067793369
32,16,8,0.5354634001851082
32,8,8,0.5630363058298826
32,4,8,0.603434257209301
32,2,8,0.6810201443731785
32,1,8,0.7528844308108091
16,16384,8,0.17579464055597782
16,8192,8,0.18274972727522254
16,4096,8,0.19635450234636664
16,2048,8,0.22103566816076636
16,1024,8,0.26085611479356885
16,512,8,0.32508276030421257
16,256,8,0.38991636876016855
16,128,8,0.439631562680006
16,64,8,0.48471652157604694
16,32,8,0.5052555808797479
16,16,8,0.5331511665135622
16,8,8,0.5628971662372351
16,4,8,0.6192329991608858
16,2,8,0.657541174441576
16,1,8,0.7622962091118097
8,16384,8,0.16023336770012975
8,8192,8,0.16212965874001384
8,4096,8,0.16666329558938742
8,2048,8,0.17270996747538447
8,1024,8,0.18724691960960627
8,512,8,0.20944881299510598
8,256,8,0.25350847328081727
8,128,8,0.3213782776147127
8,64,8,0.3915671380236745
8,32,8,0.4569592857733369
8,16,8,0.5185040645301342
8,8,8,0.5778148770332336
8,4,8,0.5892202015966177
8,2,8,0.6809192541986704
8,1,8,0.6745848804712296
4,16384,8,0.08790033007971942
4,8192,8,0.09915398177690804
4,4096,8,0.11215429054573178
4,2048,8,0.1264393785968423
4,1024,8,0.13612735085189342
4,512,8,0.14484119368717074
4,256,8,0.15849508857354522
4,128,8,0.1875185868702829
4,64,8,0.22819295153021812
4,32,8,0.2906256401911378
4,16,8,0.4183262325823307
4,8,8,0.49345251359045506
4,4,8,0.6382999289780855
4,2,8,0.5262066852301359
4,1,8,0.5922410115599632
64,16384,9,0.27835909463465214
64,8192,9,0.33275736402720213
64,4096,9,0.3961926344782114
64,2048,9,0.438235143199563
64,1024,9,0.47014075238257647
64,512,9,0.48476079665124416
64,256,9,0.4949794774875045
64,128,9,0.5018891887739301
64,64,9,0.5088421255350113
64,32,9,0.5115513177588582
64,16,9,0.5258739162236452
64,8,9,0.5488802772015333
64,4,9,0.6004222985357046
64,2,9,0.6723063737154007
64,1,9,0.7500020060688257
32,16384,9,0.20014193188399076
32,8192,9,0.22468417137861252
32,4096,9,0.2705065356567502
32,2048,9,0.3356528580188751
32,1024,9,0.39258265122771263
32,512,9,0.4414975540712476
32,256,9,0.4712060410529375
32,128,9,0.4881464662030339
32,64,9,0.49990524910390377
32,32,9,0.5098883034661412
32,16,9,0.52318817935884
32,8,9,0.5518549904227257
32,4,9,0.6002800799906254
32,2,9,0.668559093028307
32,1,9,0.764285858720541
16,16384,9,0.1772832004353404
16,8192,9,0.18486917205154896
16,4096,9,0.19921353179961443
16,2048,9,0.22195017663761973
16,1024,9,0.25838437490165234
16,512,9,0.3190263919532299
16,256,9,0.3885966930538416
16,128,9,0.45097223948687315
16,64,9,0.4845694713294506
16,32,9,0.4970386093482375
16,16,9,0.5221970304846764
16,8,9,0.5501424483954906
16,4,9,0.6010322701185942
16,2,9,0.6984683759510517
16,1,9,0.774282556027174
8,16384,9,0.15841857390478253
8,8192,9,0.16073125088587403
8,4096,9,0.16508829733356833
8,2048,9,0.17168163368478417
8,1024,9,0.18245710851624608
8,512,9,0.20945398462936282
8,256,9,0.2472277544438839
8,128,9,0.31555738020688295
8,64,9,0.3810285897925496
8,32,9,0.461400774307549
8,16,9,0.4893304342404008
8,8,9,0.5287783164530993
8,4,9,0.6573755424469709
8,2,9,0.7081153746694326
8,1,9,0.7710201162844896
4,16384,9,0.08644669805653393
4,8192,9,0.09792067506350577
4,4096,9,0.10922511946409941
4,2048,9,0.12435498367995024
4,1024,9,0.13399031129665673
4,512,9,0.14302318915724754
4,256,9,0.1546457721851766
4,128,9,0.17965517891570926
4,64,9,0.21555602084845304
4,32,9,0.27949119731783867
4,16,9,0.37189299799501896
4,8,9,0.6211889591068029
4,4,9,0.6764229536056519
4,2,9,0.6904739905148745
4,1,9,0.8154740557074547
